Category,Resume
Mobile App Developer (iOS/Android),"Seeking a Mobile App Developer (iOS/Android) role. I bring 10 years of experience, with a strong focus on Android Studio, Flutter, and Core Data. My technical skills include REST APIs, React Native, and I am passionate about creating efficient solutions."
DevOps Engineer,"Experienced DevOps Engineer with 7 years of hands-on experience in Prometheus and Jenkins. Proven ability in developing and deploying scalable applications. Proficient with Kubernetes, GitLab CI, and have worked extensively with Bash Scripting."
Data Engineer,"As a Data Engineer for the past 4 years, I've developed a deep expertise in BigQuery and Scala. I am adept at using Redshift and Python to solve complex problems. My experience extends to Docker in a cloud environment."
Full Stack Developer,"Experienced Full Stack Developer with 4 years of hands-on experience in REST APIs and Node.js. Proven ability in developing and deploying scalable applications. Proficient with PostgreSQL, GraphQL, and have worked extensively with Vue.js."
Data Engineer,"Results-driven Data Engineer with a 9-year track record. My core competencies are Apache Spark, Airflow, and Redshift. I am also skilled in Python and have experience with related technologies such as Docker and Hadoop."
Machine Learning Engineer,"As a Machine Learning Engineer for the past 3 years, I've developed a deep expertise in Python and TensorFlow. I am adept at using PyTorch and Kubernetes to solve complex problems. My experience extends to AWS in a cloud environment."
Backend Developer,"A Backend Developer specializing in Spring Boot, PostgreSQL, and MongoDB. My background includes 5 years of building robust systems and working with technologies like Node.js. I also have practical knowledge of GCP and AWS."
Full Stack Developer,"A Full Stack Developer specializing in Node.js, REST APIs, and PostgreSQL. My background includes 9 years of building robust systems and working with technologies like Express.js. I also have practical knowledge of TypeScript and Vue.js."
Full Stack Developer,"Seeking a Full Stack Developer role. I bring 10 years of experience, with a strong focus on MongoDB, PostgreSQL, and Webpack. My technical skills include React, Python, and I am passionate about creating efficient solutions."
Mobile App Developer (iOS/Android),"A Mobile App Developer (iOS/Android) specializing in REST APIs, React Native, and Objective-C. My background includes 4 years of building robust systems and working with technologies like Xcode. I also have practical knowledge of UI/UX Design and Core Data."
Mobile App Developer (iOS/Android),"A Mobile App Developer (iOS/Android) specializing in Objective-C, Swift, and REST APIs. My background includes 2 years of building robust systems and working with technologies like React Native. I also have practical knowledge of UI/UX Design and Firebase."
Cloud Engineer,"Experienced Cloud Engineer with 6 years of hands-on experience in GCP and VPC. Proven ability in developing and deploying scalable applications. Proficient with Ansible, Kubernetes, and have worked extensively with Python."
Python Developer,"Seeking a Python Developer role. I bring 6 years of experience, with a strong focus on Python, Celery, and Docker. My technical skills include NumPy, SQLAlchemy, and I am passionate about creating efficient solutions."
Python Developer,"A Python Developer specializing in Celery, NumPy, and Flask. My background includes 6 years of building robust systems and working with technologies like Pandas. I also have practical knowledge of Docker and Pytest."
Python Developer,"Seeking a Python Developer role. I bring 3 years of experience, with a strong focus on Pandas, FastAPI, and AWS. My technical skills include SQLAlchemy, Celery, and I am passionate about creating efficient solutions."
Backend Developer,"Seeking a Backend Developer role. I bring 3 years of experience, with a strong focus on Python, Express.js, and Terraform. My technical skills include Redis, Spring Boot, and I am passionate about creating efficient solutions."
Machine Learning Engineer,"As a Machine Learning Engineer for the past 3 years, I've developed a deep expertise in Kubernetes and Scikit-learn. I am adept at using SQL and Python to solve complex problems. My experience extends to AWS in a cloud environment."
